word	ref	asr
a	246	241
able	2	2
about	19	21
abu	0	2
access	1	1
achieve	1	1
across	2	2
act	1	1
actually	6	5
ad	1	0
add	3	2
adorable	1	0
advantage	1	1
after	13	14
again	11	11
against	1	1
age	2	2
agenda	0	1
ago	3	2
ah	12	1
alike	1	1
all	71	64
alligator	1	1
almond	1	1
almost	2	2
alphabet	2	2
already	8	9
alright	4	2
also	2	2
always	9	10
amber	0	1
amen	1	2
and	243	227
animal	3	3
another	4	3
answer	1	1
anticipate	1	1
any	6	7
anybody	1	1
anyone	1	2
anything	3	4
anyway	5	5
anyways	1	1
anywhere	5	5
apology	1	1
apple	3	3
appointment	1	1
area	2	2
aright	2	0
arm	1	2
around	13	13
article	1	1
as	19	16
ask	7	7
asleep	1	1
assist	1	1
at	54	55
attempt	1	1
attention	1	1
audio	1	1
automatic	1	1
avocado	1	1
aw	4	2
awake	1	0
away	13	13
awe	3	0
awesome	2	2
babe	4	3
baby	39	40
back	22	28
backwards	1	0
bad	6	5
bag	9	8
balance	1	0
ball	4	5
banana	5	5
barely	1	1
bark	1	1
basically	2	2
bath	4	2
bathroom	2	2
be	823	868
bean	2	2
bear	1	1
beat	1	2
beautiful	6	7
because	31	45
bed	9	9
bedroom	2	2
beef	1	1
beetle	1	1
before	6	5
behave	1	1
behind	2	3
believe	4	4
belly	1	1
bet	2	3
better	0	1
between	1	1
bib	1	0
big	17	17
biscuit	1	1
bit	10	10
bite	7	6
black	3	2
blanket	1	1
blend	1	1
block	2	2
blue	4	4
blueberry	1	1
boat	3	3
boo	2	0
booby	1	0
book	7	8
boom	0	1
boot	1	1
borrowing	1	0
both	8	6
bother	1	1
bottle	5	5
bottom	1	1
bounce	2	2
bout	2	0
bow	1	1
box	5	5
boy	12	13
bra	0	1
brace	1	1
brain	1	1
bread	1	1
break	4	2
breakfast	2	2
breathe	3	2
bright	2	2
bring	6	6
broccoli	0	1
brother	4	4
buck	1	1
budget	1	1
bug	1	1
buggy	1	1
build	2	3
building	1	1
bum	1	0
burn	1	0
bus	3	2
business	1	1
busy	2	1
but	78	71
butt	1	1
butterfly	2	1
button	2	2
butty	1	1
by	6	6
bye	14	29
cabinet	1	1
call	15	15
camp	1	1
campus	1	1
can	107	114
candle	2	2
canyon	2	2
capable	1	1
car	14	11
caravan	1	1
card	6	6
care	5	4
careful	1	1
carrier	2	1
carrot	2	2
carry	1	1
cart	1	1
cause	18	2
cereal	1	1
cha	1	0
chair	4	5
chance	3	3
change	9	9
charge	3	3
chat	0	1
cheap	1	0
check	4	4
cheese	6	6
chest	1	1
chew	1	2
chicken	1	1
child	2	2
chill	1	1
choose	4	4
chubby	1	1
clap	3	3
clean	6	5
clear	1	3
clever	0	1
clock	1	0
close	4	5
closet	1	1
cloth	1	0
clothes	3	3
cloud	2	2
cluck	2	0
coast	1	1
coconut	1	1
coffee	1	1
coffin	0	1
cold	1	2
collagen	1	0
colon	1	0
color	7	2
colour	0	4
come	50	55
company	1	0
computer	1	1
concert	1	1
confuse	1	2
confused	1	0
congested	1	1
congratulation	1	1
connect	1	1
continue	1	1
continuum	1	1
control	2	2
cook	1	1
cooking	1	1
cool	5	4
cooper	1	1
costume	3	3
cottonwood	1	1
couch	5	5
cough	4	3
could	15	15
counter	1	1
country	1	1
couple	5	5
course	1	2
cousin	1	1
cow	1	1
cozy	1	1
cracker	1	1
crawl	1	1
crazy	2	2
credit	3	3
crib	1	1
crocodile	4	4
cry	2	2
cuddle	4	3
cup	3	2
cupcake	2	2
curious	2	2
curse	1	1
curtain	1	1
cut	1	1
cute	4	4
d	1	1
da	5	4
dad	3	1
dada	5	2
daddy	6	5
damage	1	1
dance	2	2
dancing	1	1
dandruff	1	2
darling	3	2
darn	0	1
day	21	19
daytime	1	1
deal	3	3
dear	1	1
death	0	1
debit	2	2
decide	1	1
deck	0	1
deep	1	1
definitely	2	2
delete	1	0
delicious	1	1
desk	1	2
devastation	1	1
development	1	2
device	1	1
diaper	4	4
die	1	1
diesel	1	1
difference	1	1
different	2	2
difficult	1	1
digest	1	1
digger	1	1
dine	1	1
dinner	6	5
dinnertime	0	1
dirt	1	1
discover	1	1
disease	1	1
divorce	0	1
do	309	307
dock	1	1
doctor	3	3
dog	6	4
dollar	9	1
don	1	0
done	4	6
door	3	4
doorbell	1	0
double	1	1
down	48	43
dozen	1	1
draw	1	1
dream	4	4
dress	1	1
drink	2	2
drive	6	5
driverless	1	1
drop	4	4
drug	1	1
dry	3	3
duck	0	1
dude	1	1
due	0	1
dumb	1	1
dump	12	11
dumper	1	1
during	1	1
e	1	0
each	4	2
ear	3	3
early	2	2
earring	1	1
east	1	1
easy	3	3
eat	11	12
eatable	1	1
eight	3	2
eighteen	1	0
either	3	3
elephant	1	1
elevation	1	1
eleven	2	0
else	5	6
embarrassing	1	1
end	5	4
ended	0	1
enough	4	3
entire	1	1
er	1	0
even	11	11
event	0	1
ever	5	5
every	5	6
everybody	2	2
everyone	1	1
everything	3	3
exactly	2	3
exam	1	1
example	2	2
excavator	1	1
excellent	1	1
excited	0	1
exciting	1	1
excuse	1	1
expect	1	1
expensive	2	2
experience	1	1
extension	1	1
extra	2	2
eye	2	2
fa	1	0
face	2	4
fact	1	0
fair	2	2
fairy	0	1
fall	5	5
far	5	5
farm	1	1
farthest	1	1
fat	1	1
father	1	1
favor	1	1
favorite	2	2
fed	0	1
feed	5	4
feel	7	8
fest	2	2
festival	2	2
few	2	2
field	1	1
fight	2	1
fighting	0	1
figure	1	1
file	2	2
fill	2	1
filter	1	1
finally	1	1
find	8	9
finder	1	0
fine	6	7
finger	1	1
fire	3	2
first	5	5
fish	2	2
fist	1	1
fit	1	1
five	7	1
fix	1	1
flash	1	1
float	1	1
flood	2	2
floor	4	4
flower	3	3
fluffy	1	1
flush	1	1
fly	1	1
fold	2	2
food	6	6
football	1	1
for	91	93
forget	8	9
formula	1	1
forty	1	0
four	5	4
frame	1	3
free	3	4
freezer	1	1
frenzy	1	1
fresh	1	1
friend	4	4
frog	1	1
froggy	1	1
from	16	13
front	3	4
fruit	2	2
fry	1	1
full	3	3
fun	6	8
functional	1	1
funny	11	12
game	3	3
garbage	1	1
gas	2	2
gate	2	2
gear	1	1
gene	1	0
general	0	1
gently	7	6
get	139	144
gift	1	0
girl	10	9
give	13	15
glove	1	1
go	178	178
goal	1	1
god	5	5
gold	1	1
golf	0	1
gone	1	1
good	52	53
goodness	4	4
gorgeous	1	1
gosh	5	5
grab	7	7
grandfather	1	1
grandma	1	1
granny	1	1
grape	2	1
great	41	42
green	2	3
grey	1	1
grocery	1	1
ground	1	1
group	2	2
grow	4	1
guess	4	3
guy	16	15
h	1	1
hack	1	1
hair	4	2
half	4	4
hand	10	13
handwriting	1	1
happen	7	7
happily	1	1
happy	6	7
hard	11	13
hat	3	3
hate	0	1
have	153	160
havoc	1	1
he	101	99
head	10	9
headache	1	1
health	1	1
hear	4	5
hell	1	1
hello	15	15
help	11	12
helpful	1	1
her	43	46
here	102	102
hero	1	1
hey	18	18
hi	15	12
hiccup	1	1
hide	1	0
high	1	1
highway	1	1
hint	2	2
his	15	13
hit	5	6
hold	20	20
holiday	1	1
holy	1	2
home	6	7
honestly	1	1
honey	5	3
honk	3	3
hook	0	1
hope	1	2
hopefully	1	1
horrible	1	1
hose	1	1
host	0	1
hot	7	6
hour	10	10
house	7	6
how	36	34
hug	1	1
huge	1	1
huh	7	9
hundred	7	0
hungry	2	2
